individual,timepoint,value
A,1,4.394788103
A,2,3.362784671
A,3,2.162104726
A,4,0.393175072
A,5,0.571001792
A,6,0.217950779
A,7,4.031803675
A,8,1.013600621
A,9,2.540426652
A,10,0.531322251
B,1,0.004722288
B,2,0.879456342
B,3,5.180440478
B,4,5.026194401
B,5,7.818303452
B,6,3.90608208
B,7,1.70134142
B,8,6.529542211
B,9,2.145457168
B,10,9.144760166
B,11,0.786486889
B,12,8.970406775
B,13,5.009751756
B,14,0.219409664
C,1,0.361570556
C,2,1.221582194
C,4,0.077201326
C,5,2.510060764
C,6,2.036711975
C,7,4.766162798
C,8,4.559854087
C,9,3.216258885
C,10,0.93733481
C,11,6.137795515
C,12,2.642588683
C,13,4.63188444
C,14,1.485696337
